Stations_ID, Mess_Datum, Qualitaets_Niveau, BEDECKUNGSGRAD,REL_FEUCHTE,DAMPFDRUCK,LUFTTEMPERATUR,LUFTDRUCK_STATIONSHOEHE, WINDGESCHWINDIGKEIT, LUFTTEMP_AM_ERDB_MINIMUM,LUFTTEMPERATUR_MINIMUM,LUFTTEMPERATUR_MAXIMUM, WINDSPITZE_MAXIMUM, NIEDERSCHLAGSHOEHE_IND,NIEDERSCHLAGSHOEHE,SONNENSCHEINDAUER, SCHNEEHOEHE,eor
      164,20060101,  10,   7.5,   98.00,   6.7,    1.6,  998.60,   2.6,   -2.1,   -1.9,    2.6,   8.4,   6,    .0,     .100,  11,eor
      164,20060102,  10,   8.0,   98.00,   5.9,    -.4, 1012.10,    .9,   -2.6,   -2.1,    1.1,   3.7,   6,    .0,     .000,   8,eor
      164,20060103,  10,   8.0,   98.00,   6.4,     .8, 1020.70,   3.0,    -.1,     .0,    1.4,   5.9,   8,    .0,     .000,   6,eor
      164,20060104,  10,   7.3,   96.00,   5.9,     .1, 1025.10,   3.1,   -1.8,    -.3,     .9,   8.5,   7,    .0,     .800,   4,eor
      164,20060105,  10,   8.0,   93.00,   5.6,    -.2, 1023.30,   6.5,   -1.8,   -1.7,     .8,  13.6,   7,    .0,     .000,   2,eor
      164,20060106,  10,   8.0,   89.00,   4.8,   -1.9, 1023.20,   6.0,   -3.0,   -2.9,   -1.0,  10.9,   7,    .0,     .000,   2,eor
      164,20060107,  10,   6.3,   92.00,   4.5,   -3.0, 1027.10,   4.7,   -8.1,   -6.1,   -1.9,   9.6,   7,    .0,     .000,   2,eor
      164,20060108,  10,    .0,   82.00,   3.2,   -6.1, 1029.10,   3.2,  -12.0,   -8.0,   -2.9,   6.9,   0,    .0,    5.900,   2,eor
      164,20060109,  10,    .0,   80.00,   2.9,   -6.9, 1027.10,   2.0,  -13.4,   -9.8,   -3.1,   5.4,   0,    .0,    6.300,   2,eor
      164,20060110,  10,   2.7,   84.00,   3.5,   -5.2, 1022.70,   2.8,  -12.9,   -9.4,   -1.5,   8.0,   0,    .0,    5.100,   2,eor
      164,20060111,  10,   6.7,   81.00,   4.3,   -1.8, 1018.30,   3.8,   -7.3,   -6.0,    2.2,   9.1,   6,   1.2,    6.400,   2,eor
      164,20060112,  10,   8.0,   96.00,   6.7,    1.8, 1026.50,   2.6,     .3,     .8,    2.6,   7.9,   0,    .0,     .000,   2,eor
      164,20060113,  10,   8.0,   94.00,   5.5,    -.7, 1029.40,   3.8,   -1.9,   -2.0,    1.2,   9.7,   0,    .0,     .000,   0,eor
      164,20060114,  10,   6.1,   97.00,   4.7,   -3.1, 1026.30,   3.7,   -6.3,   -5.6,   -1.8,  10.1,   0,    .0,     .000,   0,eor
      164,20060115,  10,   6.5,   94.00,   3.7,   -5.7, 1022.80,   3.5,   -8.1,   -6.9,   -4.2,   8.9,   0,    .0,    2.700,   0,eor
      164,20060116,  10,    .1,   88.00,   3.4,   -6.2, 1016.20,   2.9,  -10.1,   -8.4,   -3.7,   7.0,   0,    .0,    6.200,   0,eor
      164,20060117,  10,   2.7,   84.00,   3.7,   -4.7, 1003.50,   4.5,   -9.6,   -8.2,   -1.3,   9.0,   7,   1.5,    6.800,   0,eor
      164,20060118,  10,   8.0,   91.00,   4.3,   -3.6,  998.80,   3.5,   -5.0,   -4.7,   -2.3,  10.1,   7,    .1,     .000,   6,eor
      164,20060119,  10,   8.0,   88.00,   4.0,   -4.0, 1017.60,   1.6,   -5.4,   -5.0,   -2.7,   6.7,   7,    .9,     .000,   7,eor
      164,20060120,  10,   8.0,   95.00,   4.2,   -4.3, 1010.40,   4.7,   -6.0,   -6.8,     .9,   9.7,   8,   6.6,     .000,  10,eor
      164,20060121,  10,   7.6,   95.00,   5.6,   -1.3, 1008.70,   4.8,  -12.5,  -12.1,    2.2,  11.5,   8,    .0,     .000,   4,eor
      164,20060122,  10,    .7,   74.00,   1.6,  -13.6, 1034.20,   2.4,  -18.9,  -16.9,  -10.4,   8.9,   0,    .0,    7.200,   4,eor
      164,20060123,  10,   2.0,   67.00,   1.1,  -16.4, 1041.10,   2.1,  -20.5,  -18.5,  -13.4,   5.9,   0,    .0,    7.400,   4,eor
      164,20060124,  10,   5.0,   69.00,   1.4,  -14.2, 1032.40,   2.9,  -18.4,  -17.8,  -10.8,   6.4,   0,    .0,    5.400,   4,eor
      164,20060125,  10,   7.6,   69.00,   2.6,   -6.6, 1013.00,   2.6,  -10.9,  -10.8,   -3.9,   6.7,   0,    .0,     .000,   4,eor
      164,20060126,  10,   2.4,   82.00,   2.3,  -10.1, 1016.40,   1.3,  -16.4,  -14.3,   -6.5,   5.4,   0,    .0,    6.000,   4,eor
      164,20060127,  10,    .1,   79.00,   1.8,  -12.9, 1020.90,    .6,  -19.0,  -16.5,   -6.7,   2.4,   0,    .0,    7.100,   4,eor
      164,20060128,  10,   3.0,   70.00,   2.2,   -9.2, 1023.50,    .9,  -19.0,  -17.0,    -.9,   3.9,   0,    .0,    6.700,   4,eor
      164,20060129,  10,   5.8,   77.00,   3.4,   -4.2, 1025.10,   2.2,  -12.2,   -8.8,    -.9,   5.7,   0,    .0,     .000,   4,eor
      164,20060130,  10,   8.0,   86.00,   5.1,    -.5, 1021.30,   3.2,   -3.2,   -2.2,    1.1,   8.7,   7,    .0,     .900,   4,eor
      164,20060131,  10,   6.8,   91.00,   5.7,     .5, 1016.70,   4.3,   -1.9,    -.6,    2.0,  10.5,   0,    .0,    2.900,   4,eor
      164,20060201,  10,   7.6,   92.00,   5.1,   -1.4, 1014.90,   3.9,   -2.7,   -1.9,    -.4,   8.2,   0,    .0,     .400,   4,eor
      164,20060202,  10,   8.0,   85.00,   5.2,     .0, 1011.50,   3.8,   -1.6,   -1.4,     .8,   7.6,   7,    .0,     .000,   3,eor
      164,20060203,  10,   8.0,   87.00,   5.4,     .2, 1011.50,   2.9,   -1.4,    -.9,    1.3,   7.3,   7,    .1,     .000,   3,eor
      164,20060204,  10,   4.0,   80.00,   4.0,   -2.9, 1019.20,   3.3,  -13.1,  -10.4,    -.2,  11.3,   7,    .0,    3.500,   3,eor
      164,20060205,  10,   4.8,   81.00,   2.8,   -7.3, 1024.20,    .3,  -14.6,  -11.7,   -3.0,   2.6,   0,    .0,    1.600,   3,eor
      164,20060206,  10,   5.7,   81.00,   3.0,   -7.0, 1018.20,   3.5,  -15.8,  -13.3,     .3,  14.3,   8,   7.7,    2.600,   3,eor
      164,20060207,  10,   7.9,   98.00,   7.4,    3.0,  999.80,   7.1,    -.1,     .2,    4.5,  16.0,   6,   2.5,     .000,   7,eor
      164,20060208,  10,   7.8,   97.00,   7.4,    3.0,  990.40,   5.2,     .9,    1.7,    4.0,  14.0,   6,   6.3,     .000,   0,eor
      164,20060209,  10,   7.8,   91.00,   6.0,    1.2,  986.30,   6.8,    -.1,     .1,    2.5,  18.4,   8,   3.5,     .200,   0,eor
      164,20060210,  10,   7.9,   95.00,   5.9,     .1, 1002.60,   3.8,   -1.0,    -.5,     .6,  10.2,   7,    .1,     .000,   4,eor
      164,20060211,  10,   7.5,   96.00,   5.6,    -.7, 1018.30,   3.0,   -7.1,   -3.3,     .8,   7.4,   7,   1.1,     .000,   4,eor
      164,20060212,  10,   5.3,   91.00,   4.6,   -2.5, 1018.00,   2.6,   -9.8,   -5.8,     .4,   7.5,   0,    .0,     .400,   5,eor
      164,20060213,  10,   7.9,   98.00,   5.8,    -.5, 1016.60,   1.2,   -3.7,   -2.1,     .6,   6.5,   8,    .3,     .000,   4,eor
      164,20060214,  10,   2.2,   83.00,   4.7,    -.7, 1014.80,   1.8,   -8.7,   -5.0,    4.3,   6.8,   0,    .0,    7.600,   4,eor
      164,20060215,  10,   7.5,   90.00,   5.5,    -.3,  999.70,   4.5,   -5.5,   -3.9,    2.0,  10.2,   8,   1.0,     .000,   3,eor
      164,20060216,  10,   8.0,   98.00,   6.7,    1.6,  986.30,   2.7,     .4,     .8,    2.7,   5.8,   6,   2.9,     .000,   2,eor
      164,20060217,  10,   8.0,   99.00,   7.0,    2.0,  986.20,   2.8,    -.6,     .5,    3.6,   6.6,   6,   2.8,     .000,   0,eor
      164,20060218,  10,   5.9,   88.00,   7.1,    3.9,  992.00,   3.3,     .1,     .6,    7.8,   7.2,   6,    .5,    3.300,   0,eor
      164,20060219,  10,   7.7,   97.00,   7.3,    2.9,  996.90,   2.4,    -.3,    1.4,    4.3,   6.9,   6,    .1,     .000,   0,eor
      164,20060220,  10,   7.9,   98.00,   6.7,    1.6, 1003.40,   2.8,     .2,     .5,    3.9,   7.2,   0,    .0,     .200,   0,eor
      164,20060221,  10,   8.0,   93.00,   6.1,     .9, 1011.00,   5.1,    -.4,     .1,    2.8,  12.8,   7,    .0,     .000,   0,eor
      164,20060222,  10,   8.0,   81.00,   4.9,    -.1, 1019.20,   4.5,   -2.4,   -1.7,     .8,  11.4,   7,    .0,     .000,   0,eor
      164,20060223,  10,   2.7,   80.00,   4.4,   -1.3, 1017.70,   1.8,   -5.5,   -4.3,    3.1,   4.1,   0,    .0,    7.600,   0,eor
      164,20060224,  10,   1.0,   78.00,   4.4,   -1.0, 1022.20,   5.1,   -4.9,   -4.2,    2.9,  10.7,   0,    .0,    9.500,   0,eor
      164,20060225,  10,   8.0,   77.00,   4.2,   -1.7, 1015.00,   4.4,   -2.3,   -2.3,   -1.0,   9.4,   7,    .1,     .000,   0,eor
      164,20060226,  10,   4.3,   77.00,   4.2,   -1.6, 1010.40,   3.7,   -8.3,   -6.3,    2.3,  10.8,   7,    .0,    4.500,   0,eor
      164,20060227,  10,   4.2,   79.00,   3.7,   -3.7, 1006.80,   2.9,  -10.1,   -7.8,     .5,   9.2,   7,    .4,    6.300,   0,eor
      164,20060228,  10,   6.4,   87.00,   4.5,   -2.4,  996.10,   4.0,   -9.1,   -7.1,     .7,  10.0,   8,    .2,    1.600,   0,eor
      164,20060301,  10,   6.8,   86.00,   5.2,    -.2,  991.10,   4.1,   -3.9,   -2.0,    2.7,   9.9,   8,   1.1,    2.200,   1,eor
      164,20060302,  10,   5.9,   82.00,   4.7,    -.9,  993.30,   4.5,   -4.0,   -2.6,    1.5,  11.9,   7,    .0,    2.000,   1,eor
      164,20060303,  10,   4.8,   77.00,   4.2,   -1.6,  991.40,   3.2,   -5.7,   -4.3,    1.7,   8.8,   7,    .0,    3.300,   0,eor
      164,20060304,  10,   3.9,   78.00,   4.1,   -1.8,  989.10,   3.5,   -7.4,   -4.9,    2.0,   9.0,   7,    .0,    4.700,   0,eor
      164,20060305,  10,   4.8,   84.00,   4.8,    -.8,  992.90,   4.5,   -9.4,   -5.5,    2.9,  12.5,   7,   2.9,    4.500,   0,eor
      164,20060306,  10,   4.5,   88.00,   4.0,   -4.3, 1002.40,   2.9,  -17.4,  -10.5,    -.6,   7.1,   7,   2.6,    6.200,   7,eor
      164,20060307,  10,   6.2,   91.00,   4.6,   -2.5, 1009.30,   1.8,  -15.5,  -11.3,     .7,   6.3,   7,    .1,    2.900,   8,eor
      164,20060308,  10,   4.8,   88.00,   3.9,   -4.6, 1006.40,   3.2,  -15.0,  -11.2,     .2,   9.2,   0,    .0,    3.200,   6,eor
      164,20060309,  10,   6.8,   79.00,   4.1,   -2.4,  993.50,   2.6,   -9.1,   -7.0,    1.2,   6.8,   0,    .0,     .000,   5,eor
      164,20060310,  10,   7.9,   90.00,   4.9,   -1.5,  995.30,   3.2,   -3.2,   -2.7,    -.3,   7.6,   7,   3.1,     .000,   4,eor
      164,20060311,  10,   7.9,   81.00,   3.9,   -3.1, 1002.10,   5.2,   -5.9,   -4.9,    -.9,  10.8,   7,    .1,     .000,  11,eor
      164,20060312,  10,   5.5,   83.00,   3.8,   -3.8, 1018.70,   4.1,  -13.8,   -9.6,    -.3,  10.4,   7,    .1,    5.000,  10,eor
      164,20060313,  10,   3.0,   82.00,   3.3,   -5.7, 1028.20,   2.7,  -15.5,  -11.3,    -.1,   6.7,   7,    .0,    8.000,   9,eor
      164,20060314,  10,   5.8,   81.00,   3.6,   -4.3, 1024.20,   2.0,  -14.4,  -11.2,     .6,   4.8,   7,    .0,    5.700,   8,eor
      164,20060315,  10,   7.9,   89.00,   5.2,    -.7, 1019.60,   2.9,   -3.6,   -3.1,    1.6,   7.0,   7,    .1,     .000,   7,eor
      164,20060316,  10,   6.7,   85.00,   5.4,     .6, 1019.80,   3.2,   -2.7,   -2.0,    3.9,   9.1,   7,    .0,    3.700,   6,eor
      164,20060317,  10,   8.0,   89.00,   5.5,     .1, 1019.90,   3.6,   -1.6,   -1.3,    1.5,   8.5,   7,    .0,     .000,   4,eor
      164,20060318,  10,   8.0,   89.00,   5.0,   -1.0, 1015.80,   3.1,   -2.0,   -1.8,    -.3,   7.3,   7,    .0,     .000,   3,eor
      164,20060319,  10,   7.8,   87.00,   5.1,    -.6, 1005.80,   4.5,   -2.7,   -2.7,    1.5,   9.7,   6,    .0,     .600,   3,eor
      164,20060320,  10,   7.0,   89.00,   6.1,    1.5, 1001.80,   3.9,   -3.3,   -1.9,    2.8,  14.2,   0,    .0,     .000,   2,eor
      164,20060321,  10,   3.5,   75.00,   4.2,    -.8, 1002.80,   1.5,   -6.4,   -4.2,    3.4,   5.3,   0,    .0,    8.100,   0,eor
      164,20060322,  10,   3.5,   76.00,   4.3,    -.7, 1003.60,   1.8,   -6.8,   -5.1,    4.5,   9.0,   7,    .0,    7.900,   0,eor
      164,20060323,  10,   1.3,   74.00,   4.3,    -.2, 1009.10,   1.7,   -5.8,   -4.3,    5.1,   4.9,   0,    .0,   10.900,   0,eor
      164,20060324,  10,   5.4,   56.00,   3.7,    1.7, 1004.50,   3.9,   -5.5,   -3.0,    6.6,  11.8,   6,    .0,    8.000,   0,eor
      164,20060325,  10,   8.0,   87.00,   5.9,    1.4, 1001.50,   3.1,    -.6,     .1,    3.4,   7.0,   6,   2.0,     .000,   0,eor
      164,20060326,  10,   7.8,   98.00,   8.7,    4.8, 1002.80,   2.5,     .6,     .8,   10.2,   7.7,   6,   6.9,     .000,   0,eor
      164,20060327,  10,   5.9,   97.00,  12.1,   10.1,  998.10,   3.5,    3.3,    5.9,   15.0,  14.2,   6,  12.9,     .000,   0,eor
      164,20060328,  10,   4.6,   71.00,   9.0,   10.7,  995.70,   4.3,     .6,    5.6,   15.7,  11.8,   6,    .0,    6.500,   0,eor
